stem,content,style,params,raw_path,fin_path,content_path,edge_iou_raw,edge_iou_fin,delta_edge_iou,edge_density_raw,edge_density_fin,delta_edge_density,color_raw,color_fin,delta_color,lpips_raw_fin
Still_Life__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512,Still_Life,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512,out\hparam_study\style_layers\imgs\Still_Life__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512_500.jpg,out\hparam_study\style_layers\finals\Still_Life__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512_500_final.jpg,data\content\Still_Life.jpg,0.16964580483893787,0.09251901075563472,-0.07712679408330315,0.14556121826171875,0.1050872802734375,-0.04047393798828125,61.08365498425936,52.63234266300129,-8.451312321258072,
Still_Life__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512,Still_Life,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512,out\hparam_study\style_layers\imgs\Still_Life__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512_500.jpg,out\hparam_study\style_layers\finals\Still_Life__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512_500_final.jpg,data\content\Still_Life.jpg,0.18980024877442014,0.09570182302988146,-0.09409842574453868,0.2339324951171875,0.150177001953125,-0.0837554931640625,63.153580384179534,53.426110095423326,-9.727470288756209,
Still_Life__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512,Still_Life,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512,out\hparam_study\style_layers\imgs\Still_Life__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_500.jpg,out\hparam_study\style_layers\finals\Still_Life__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_500_final.jpg,data\content\Still_Life.jpg,0.18950955336497505,0.09770031609778732,-0.09180923726718773,0.2346038818359375,0.15053558349609375,-0.08406829833984375,63.00184020091484,53.520681200973215,-9.481158999941627,
Still_Life__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512,Still_Life,Ukiyo-e_print,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512,out\hparam_study\style_layers\imgs\Still_Life__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512_500.jpg,out\hparam_study\style_layers\finals\Still_Life__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512_500_final.jpg,data\content\Still_Life.jpg,0.19797111151162491,0.1683806138849325,-0.029590497626692414,0.21672821044921875,0.20283889770507812,-0.013889312744140625,33.34321497684159,20.41360221682373,-12.929612760017857,
Still_Life__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512,Still_Life,Ukiyo-e_print,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512,out\hparam_study\style_layers\imgs\Still_Life__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512_500.jpg,out\hparam_study\style_layers\finals\Still_Life__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512_500_final.jpg,data\content\Still_Life.jpg,0.1857461957280469,0.1545200833716042,-0.03122611235644271,0.25054931640625,0.23575210571289062,-0.014797210693359375,35.83891286783485,19.318246468095733,-16.520666399739117,
Still_Life__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512,Still_Life,Ukiyo-e_print,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512,out\hparam_study\style_layers\imgs\Still_Life__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_500.jpg,out\hparam_study\style_layers\finals\Still_Life__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_500_final.jpg,data\content\Still_Life.jpg,0.18336082688292363,0.15352237483385026,-0.029838452049073372,0.2530670166015625,0.23914718627929688,-0.013919830322265625,36.04389091252257,19.394508247141722,-16.64938266538085,
city__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512,city,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512,out\hparam_study\style_layers\imgs\city__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512_500.jpg,out\hparam_study\style_layers\finals\city__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512_500_final.jpg,data\content\city.jpg,0.09820170984965115,0.09568990042674254,-0.0025118094229086146,0.11661529541015625,0.15465927124023438,0.038043975830078125,46.71012739187254,46.837868169953666,0.12774077808112594,
city__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512,city,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512,out\hparam_study\style_layers\imgs\city__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512_500.jpg,out\hparam_study\style_layers\finals\city__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersB_512_500_final.jpg,data\content\city.jpg,0.1144014141895365,0.12057772946109645,0.006176315271559943,0.1999053955078125,0.13607025146484375,-0.06383514404296875,48.701754805159354,44.8879733078251,-3.8137814973342543,
city__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512,city,Monet,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512,out\hparam_study\style_layers\imgs\city__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_500.jpg,out\hparam_study\style_layers\finals\city__Monet__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersC_512_500_final.jpg,data\content\city.jpg,0.11095233361499081,0.12133008669758208,0.01037775308259127,0.20187759399414062,0.136627197265625,-0.06525039672851562,48.72910522099287,44.90841042539202,-3.8206947956008506,
city__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512,city,Ukiyo-e_print,sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512,out\hparam_study\style_layers\imgs\city__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512_500.jpg,out\hparam_study\style_layers\finals\city__Ukiyo-e_print__sw20000_tv0.0028_edge0.08_fp0.75_cpm0.60_layersA_512_500_final.jpg,data\content\city.jpg,0.08716738420042533,0.07955722976020675,-0.007610154440218578,0.18064117431640625,0.19863510131835938,0.017993927001953125,32.216038733740206,20.513591142113327,-11.702447591626878,
